id,username,full_text,created_at,tweet_url
824,peaceactivist54,Pray for Gaza 💔   #Gaza_Genocide #Palestine https://t.co/kJZewx2FvD,Tue Oct 24 15:08:44 +0000 2023,https://twitter.com/peaceactivist54/status/1716834113292742894
825,EyalMIvri,@ToyChava @DavidM_Friedman @nytimes The true meaning of Palestine is all the land of Israel with no Jews. Hamas is Palestine! From the river to the sea there won't be one jew free. and almost all Palestinians are behind him.,Tue Oct 24 15:08:44 +0000 2023,https://twitter.com/EyalMIvri/status/1716834112437153841
829,SQSQ08881652,@ChayaRaichik10 In other words you support and fund genocide in Palestine but not able to tolerate anything against Israel,Tue Oct 24 15:08:42 +0000 2023,https://twitter.com/SQSQ08881652/status/1716834106695376971
839,NylwfrAmeen,#Gaza_Genocide #Gazabombing #Palestine #غزة_تستغيث,Tue Oct 24 15:08:38 +0000 2023,https://twitter.com/NylwfrAmeen/status/1716834086072041567
842,nectarofgoddess,This genocide in Palestine obviously has nothing to do with Lana and people making this horrific event about celebrities they stan sucks to say the least. But I genuinely don’t think Lana is a Zionist. At the same time. I also don’t think she’s some pro-Palestinian activist.,Tue Oct 24 15:08:36 +0000 2023,https://twitter.com/nectarofgoddess/status/1716834081021820979
844,Rubiconslav,I literally couldn’t care less about Israel or Palestine. Every nation should cut aid to both countries and let them fight it out. Last one standing gets the land.,Tue Oct 24 15:08:36 +0000 2023,https://twitter.com/Rubiconslav/status/1716834078643892493
849,webtasarimrek,@Ostrov_A You are still lying. where are the proof of beheaded babies. CNN retract the that news because it is a lie. Old woman hostage thanks and shakes palestine solider. You are a lie machine. Your lies and cruel politics causing both palestine and israel people die. https://t.co/SBpSJk0mwZ,Tue Oct 24 15:08:34 +0000 2023,https://twitter.com/webtasarimrek/status/1716834072457306248
851,Jeanblaguin16,@AlHumet @T_Bouhafs Oui free Palestine..  from Hamas,Tue Oct 24 15:08:33 +0000 2023,https://twitter.com/Jeanblaguin16/status/1716834069072261284
860,cnyt_yvz,ISIS beheaded Muslims and stormed Islamic countries.   @Israel has been ripping up children and storming not only #Gaza but the whole #Palestine for decades as well.   ISRAEL=ISIS #GenocideinGaza  #GenocideSupporters,Tue Oct 24 15:08:32 +0000 2023,https://twitter.com/cnyt_yvz/status/1716834062554321214
864,meatballguv,@JackPosobiec Because moving the embassy and presenting a plan that gave Israel everything they wanted certainly went a long way to promoting peace between Israel and Palestine...  It's surprising people pay you for opinions.,Tue Oct 24 15:08:30 +0000 2023,https://twitter.com/meatballguv/status/1716834054950281274
865,servalan79,Israel is Losing the PR War | Dave Chappelle Defends Palestine | Antony ... https://t.co/m8BmWRAAzr via @YouTube,Tue Oct 24 15:08:30 +0000 2023,https://twitter.com/servalan79/status/1716834053427741139
875,patriziarn,The number of internally displaced people across the Gaza Strip is estimated at around 1 million. according to United Nations Relief and Works Agency for Palestine Refugees in the Near East https://t.co/JIIrlgQqcx,Tue Oct 24 15:08:27 +0000 2023,https://twitter.com/patriziarn/status/1716834040274411595
